# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namebokutosimnomachikingdom	Boku to Sim no Machi Kingdom (Japan)
namebokutosimnomachiparty	Boku to Sim no Machi Party (Japan)
namebokutosimnomachiracing	Boku to Sim no Machi Racing (Japan)
namebomberman	Bomberman (Japan)
namebombermanland	Bomberman Land (USA)
namebombermanlandwii	Bomberman Land Wii (Europe) (En,Fr,De,Es,It)
nameboogie	Boogie (Europe) (En,Fr,De,Es,It,Nl,Pt)
nameboogiesuperstar	Boogie SuperStar (Europe) (En,Fr,De,Es,It,Nl)
nameboomblox	Boom Blox (Europe) (En,Fr,De,Es,It,Nl)
nameboombloxbashparty	Boom Blox Bash Party (Europe) (En,Fr,De,Es,It,Nl)
nameboomstreet	Boom Street (Europe) (En,Fr,De,Es,It)
namebootcampacademy	Boot Camp Academy (Europe) (En,Fr,De,It)
nameboyandhisbloba	Boy and His Blob, A (UK)
namebratzgirlzreallyrock	Bratz - Girlz Really Rock (Europe) (De,Es,It)
namebratzkidz	Bratz Kidz (USA) (En,Fr,Es)
namebratzkidzparty	Bratz Kidz - Party (Europe) (En,Fr,De,Es,It,Sv,No,Da)
namebratzthemovie	Bratz - The Movie (Europe) (En,Fr)
namebraveawarriorstale	Brave - A Warrior's Tale (Europe) (En,Fr,De,Es,It)
namebrokenswordshadowofthetemplarsthedirectorscut	Broken Sword - Shadow of the Templars - The Director's Cut (Europe) (En,Fr,De,Es,It)
namebrothersinarmsdoubletime	Brothers in Arms - Double Time (USA) (En,Fr,Es) (Disc 1) (Brothers in Arms - Road to Hill 30)
namebrothersinarmsearnedinblood	Brothers in Arms - Earned in Blood (Europe) (En,Fr,De,Es,It)
namebrothersinarmsroadtohill30	Brothers in Arms - Road to Hill 30 (Europe) (En,Fr,De,Es,It)
namebrunswickprobowling	Brunswick Pro Bowling (Europe)
namebrunswickzonecosmicbowling	Brunswick Zone Cosmic Bowling (USA)
namebuckfever	Buck Fever (USA)
namebuildabearworkshopafriendfurallseasons	Build-A-Bear Workshop - A Friend Fur All Seasons (Europe) (En,Fr,Da)
namebuildabearworkshopfriendshipvalley	Build-A-Bear Workshop - Friendship Valley (Denmark) (En,Fr,Es,Da)
namebuildnrace	Build'n Race (USA) (En,Fr,Es)
namebullyscholarshipedition	Bully - Scholarship Edition (Europe) (En,Fr,De,Es,It)
nameburgerbot	Burger Bot (USA)
nameburgerisland	Burger Island (USA)
namebustamove	Bust-A-Move (Europe) (En,Fr,De,Es,It)
namebustamovebash	Bust-A-Move Bash! (USA)
namebusyscissors	Busy Scissors (Europe) (En,Fr,De,Es,It)
namebyeoruikirbywii	Byeorui Kirby Wii (Korea)
namecabelasadventurecamp	Cabela's Adventure Camp (Europe) (En,Fr,De,Es,It,Nl)
namecabelasafricanadventures	Cabela's African Adventures (USA)
namecabelasbiggamehunter	Cabela's Big Game Hunter (Europe)
namecabelasbiggamehunter2010	Cabela's Big Game Hunter 2010 (Europe)
namecabelasbiggamehunter2012	Cabela's Big Game Hunter 2012 (Europe) (En,Fr,De,Es,It)
namecabelasdangerousadventures	Cabela's Dangerous Adventures (Europe)
namecabelasdangeroushunts2009	Cabela's Dangerous Hunts 2009 (USA)
namecabelasdangeroushunts2011	Cabela's Dangerous Hunts 2011 (Europe, Australia) (En,Fr,De,Es,It)
namecabelasdangeroushunts2011specialedition	Cabela's Dangerous Hunts 2011 - Special Edition (USA)
namecabelasdangeroushunts2013	Cabela's Dangerous Hunts 2013 (Europe) (En,Fr,De,It)
namecabelashuntingexpeditions	Cabela's Hunting Expeditions (USA)
namecabelaslegendaryadventures	Cabela's Legendary Adventures (USA)
namecabelasmonsterbuckhunter	Cabela's Monster Buck Hunter (USA)
namecabelasnorthamericanadventures	Cabela's North American Adventures (USA)
namecabelasoutdooradventures	Cabela's Outdoor Adventures (USA)
namecabelassurvivalshadowsofkatmai	Cabela's Survival - Shadows of Katmai (Europe) (En,Fr,De,Es,It)
namecabelastrophybucks	Cabela's Trophy Bucks (USA)
namecaduceusnewblood	Caduceus - New Blood (Japan)
namecaduceuszfutatsunochoushittou	Caduceus Z - Futatsu no Chou Shittou (Japan)
namecagestheprostylebattingpractice	Cages, The - Pro Style Batting Practice (USA)
namecakemaniainthemix	Cake Mania - In the Mix! (Europe) (En,Fr,De)
namecalling	Calling (Europe) (En,Fr,De,Es,It)
namecallingkurokichakushin	Calling - Kuroki Chakushin (Japan)
namecallofduty3	Call of Duty 3 (Europe) (Fr,Es,It)
namecallofdutyblackops	Call of Duty - Black Ops (Canada)
namecallofdutymodernwarfare3	Call of Duty - Modern Warfare 3 (Canada)
namecallofdutymodernwarfarereflex	Call of Duty - Modern Warfare - Reflex (Europe) (En,Fr)
namecallofdutyworldatwar	Call of Duty - World at War (Canada)
namecalvintuckersfarmanimalracing	Calvin Tucker's Farm Animal Racing (Europe) (En,Fr,De,Es,It,Nl)
namecalvintuckersredneckfarmanimalsracingtournament	Calvin Tucker's Redneck Farm Animals Racing Tournament (USA) (En,Fr,Es)
namecalvintuckersredneckjamboree	Calvin Tucker's Redneck Jamboree (Europe) (En,Fr,De,Es,It)
namecanadahunt	Canada Hunt (USA)
namecandacekanescandyfactory	Candace Kane's Candy Factory (USA)
namecaptainamericasupersoldier	Captain America - Super Soldier (Europe) (En,Fr,De,Es,It)
namecaptainmorganeandthegoldenturtle	Captain Morgane and the Golden Turtle (Europe) (En,Fr,De,Es,It)
namecaptainrainbow	Captain Rainbow (Japan)
namecarnivalfunfairgames	Carnival Funfair Games (Europe) (En,Fr,De,Es,It,Nl)
namecarnivalgames	Carnival Games (USA)
namecarnivalgamesminigolf	Carnival Games - MiniGolf (Europe) (En,Fr,De,Es,It,Nl)
namecartoonnetworkpunchtimeexplosionxl	Cartoon Network - Punch Time Explosion XL (Europe) (En,Fr,De,Es,It)
namecaseclosedthemirapolisinvestigation	Case Closed - The Mirapolis Investigation (Europe) (En,Fr,De,Es,It)
namecaspersscareschoolspookysportsday	Casper's Scare School - Spooky Sports Day (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
namecastleofshikigamiiii	Castle of Shikigami III (USA)
namecastlevaniajudgment	Castlevania Judgment (Europe) (En,Fr,De,Es,It)
namecatewestthevanishingfiles	Cate West - The Vanishing Files (Europe)
namecatz	Catz (Europe) (En,Fr,De,Es,It,Nl)
namecelebritysportsshowdown	Celebrity Sports Showdown (Europe) (En,Fr,De,Es,It)
namecentipedeinfestation	Centipede - Infestation (USA) (En,Fr,Es)
namechallengemebrainpuzzles2	Challenge Me - Brain Puzzles 2 (Europe) (En,Fr,De,Es,It) (Rev 2)
namechallengemewordpuzzles	Challenge Me - Word Puzzles (Europe) (En,Fr,De,Es,It)
namechampionjockeyg1jockeygallopracer	Champion Jockey - G1 Jockey & Gallop Racer (Europe)
namechampionjockeygallopracergijockey	Champion Jockey - Gallop Racer & GI Jockey (Japan)
namechampionshipfoosball	Championship Foosball (USA) (En,Fr,Es)
namechaosalamaison	Chaos a la Maison (France)
namechaoticshadowwarriors	Chaotic - Shadow Warriors (USA) (En,Fr)
namecharmgirlsclubpajamaparty	Charm Girls Club - Pajama Party (USA) (En,Fr,Es)
namecharmgirlsclubpyjamaparty	Charm Girls Club - Pyjama Party (Europe, Australia) (En,Fr,De,Es,It,Nl)
namechavoel	Chavo, El (Latin America) (En,Es,Pt)
namecheggerspartyquiz	Cheggers Party Quiz (Europe) (En,Fr,De,Es,It)
namecheoeummannaneunwii	Cheoeum Mannaneun Wii (Korea)
namecheongonguigisarodea	Cheongongui Gisa Rodea (Korea)
namechevroletcamarowildride	Chevrolet Camaro - Wild Ride (Europe) (En,Fr,De,Es,It,Nl)
namechibirobo	Chibi-Robo! (Japan)
namechickenblaster	Chicken Blaster (Europe) (En,Fr,De,Es,It)
namechickenriot	Chicken Riot (Europe) (En,Fr,De,Es,It) (Rev 1)
namechickenshoot	Chicken Shoot (Europe) (En,Fr,De,Es,It)
namechinsports	Chin Sports (Japan)
namechocobonofushiginadungeontokiwasurenomeikyuu	Chocobo no Fushigi na Dungeon - Toki-wasure no Meikyuu (Japan)
namechoroqwii	Choro Q Wii (Japan)
namechroniclesofnarniatheprincecaspian	Chronicles of Narnia, The - Prince Caspian (Europe)
namechryslerclassicracing	Chrysler Classic Racing (Europe) (En,Fr,De,Es,It)
namechuckecheesespartygames	Chuck E. Cheese's Party Games (USA)
