# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namegyuwamblerjikochuushinhamahjongpuzzlecollection	Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan)
namehatarakushoujotekipakiworkinglove	Hataraku Shoujo - Tekipaki Working Love (Japan)
namehatsukoimonogatari	Hatsukoi Monogatari (Japan) (Rev 1)
namehawkf123	Hawk F-123 (Japan)
namehellfirestheanotherstory	Hellfire S - The Another Story (Japan)
namehighgrenadier	High Grenadier (Japan)
namehihoudensetsuchrisnobouken	Hihou Densetsu - Chris no Bouken (Japan)
namehilegfantasy	Hi-Leg Fantasy (Japan)
namehimitsunohanazono	Himitsu no Hanazono (Japan)
namehorrorstory	Horror Story (Japan)
namehumansportsfestival	Human Sports Festival (Japan)
namehupgatourpowergolf2golfer	Hu PGA Tour - PowerGolf 2 - Golfer (Japan)
namehyakumonogatarihontoniattakowaihanashi	Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan)
namehyperdynesidearmsspecial	Hyper Dyne - SideArms Special (Japan) (Alt)
namehypernovablast	Hypernova Blast (USA)
namehyperwars	Hyper Wars (Japan) (SABS)
nameiganindengaiou	Iga Ninden Gaiou (Japan)
nameimagefightiioperationdeepstriker	ImageFight II - Operation Deepstriker (Japan)
nameimplode	Implode (USA)
nameinmagicaladventurefraycdxakgaiden	In Magical Adventure - Fray CD - Xak Gaiden (Japan)
nameinouemamikonohoshinitattahitorinokimi	Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan)
nameiqpanic	IQ Panic (Japan)
nameitcamefromthedesert	It Came from the Desert (USA)
namejacknicklausturbogolf	Jack Nicklaus Turbo Golf (USA)
namejacknicklausworldtourgolf162holes	Jack Nicklaus' World Tour Golf - 162 Holes (Japan)
namejanteimonogatari	Jantei Monogatari (Japan)
namejanteimonogatari2uchuutanteidibankanketsuhen	Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan)
namejanteimonogatari2uchuutanteidibanshutsudouhen	Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan)
namejanteimonogatari3saverangels	Jantei Monogatari 3 - Saver Angels (Japan)
namejbharoldmurderclub	J. B. Harold Murder Club (USA) (En,Ja)
namejbharoldseries1murderclub	J. B. Harold Series 1 - Murder Club (Japan)
namejimpowerinmutantplanet	Jim Power in Mutant Planet (Japan)
namejleaguetremendoussoccer94	J.League Tremendous Soccer '94 (Japan)
namejohnmaddenduocdfootball	John Madden Duo CD Football (USA)
namejuuouki	Juuouki (Japan) (Rev 4)
namekabukiittouryoudan	Kabuki Ittouryoudan (Japan) (FABT)
namekagaminokuninolegend	Kagami no Kuni no Legend (Japan)
namekaizouchoujinshubibinman3ikainoprincess	Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan)
namekakutouhaoudensetsualgunos	Kakutou Haou Densetsu - Algunos (Japan)
namekawanonushitsurishizenha	Kawa no Nushitsuri - Shizen-ha (Japan)
namekazekirininjaaction	Kaze Kiri - Ninja Action (Japan)
namekiaidan00	Kiaidan 00 (Japan)
namekickboxingthe	Kick Boxing, The (Japan)
namekidsstationvol2atchikotchidotchi	Kid's Station Vol. 2 - Atchi Kotchi Dotchi (Japan)
namekisoulouga	Kisou Louga (Japan) (FABT)
namekisoulougaiitheendsofshangrila	Kisou Louga II - The Ends of Shangrila (Japan)
namekoseikibeastsanjuushigaiafukkatsukanketsuhen	KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan)
namekuusoukagakusekaigulliverboy	Kuusou Kagaku Sekai Gulliver Boy (Japan)
nameladyphantom	Lady Phantom (Japan) (FABT)
namelangrisserhikarinomatsuei	Langrisser - Hikari no Matsuei (Japan)
namelaplacenoma	Laplace no Ma (Japan)
namelasersoftvisualcollectionvol1cosmicfantasyvisualshuu	Laser Soft Visual Collection Vol. 1 - Cosmic Fantasy Visual-shuu (Japan)
namelasersoftvisualcollectionvol2valisvisualshuu	Laser Soft Visual Collection Vol. 2 - Valis Visual-shuu (Japan)
namelastalert	Last Alert (USA)
namelastarmageddon	Last Armageddon (Japan) (Rev 5)
nameldis	L-Dis (Japan)
namelegendofxanadukazenodensetsuxanadu	Legend of Xanadu - Kaze no Densetsu Xanadu (Japan)
namelegendofxanadukazenodensetsuxanaduii	Legend of Xanadu - Kaze no Densetsu Xanadu II (Japan)
namelegion	Legion (Japan) (Rev 4) (Alt)
namelemmings	Lemmings (Japan)
namelinda3	Linda^3 (Japan) (Rev 1)
nameloom	Loom (Japan)
namelordofwars	Lord of Wars (Japan)
namelordsoftherisingsun	Lords of the Rising Sun (USA)
namelordsofthunder	Lords of Thunder (USA)
namemadoumonogatariihonoonosotsuenji	Madou Monogatari I - Honoo no Sotsuenji (Japan)
namemadstalkerfullmetalforce	Mad Stalker - Full Metal Force (Japan)
namemagicaldinosaurtour	Magical Dinosaur Tour (USA)
namemagicalsaurustour	Magical Saurus Tour (Japan)
namemagicoal	Magicoal (Japan)
namemahjongclinicspecial	Mahjong Clinic Special (Japan)
namemahjonglemonangel	Mahjong Lemon Angel (Japan)
namemahjongonthebeach	Mahjong on the Beach (Japan)
namemahjongswordprincessquestgaiden	Mahjong Sword - Princess Quest Gaiden (Japan)
namemahjongvanillasyndrome	Mahjong Vanilla Syndrome (Japan)
namemakaieiyuudenshapeshifter	Makai Eiyuuden - Shape Shifter (Japan)
namemamonohunteryoukomakaikaranotenkousei	Mamono Hunter Youko - Makai kara no Tenkousei (Japan)
namemamonohunteryoukotookiyobigoe	Mamono Hunter Youko - Tooki Yobigoe (Japan)
namemanholethe	Manhole, The (Japan)
namemartialchampion	Martial Champion (Japan)
namemashoudenkilavaleur	Mashou Denki - La Valeur (Japan)
namemasterofmonsters	Master of Monsters (Japan)
namematekidensetsuastralius	Mateki Densetsu Astralius (Japan)
namemegamiparadise	Megami Paradise (Japan)
namemetalangel	Metal Angel (Japan)
namemetalangel2	Metal Angel 2 (Japan)
namemetamorjupiter	Metamor Jupiter (Japan)
namemeteorblasterdx	Meteor Blaster DX (USA)
namemightandmagic	Might and Magic (Japan)
namemightandmagiciiiislesofterra	Might and Magic III - Isles of Terra (Japan)
nameminesweeper	Minesweeper (Japan)
namemiraishounenconan	Mirai Shounen Conan (Japan)
namemitsubachigakuen	Mitsubachi Gakuen (Japan)
namemonsterlair	Monster Lair (USA)
namemonstermakeryaminoryuukishi	Monster Maker - Yami no Ryuukishi (Japan)
namemoonlightlady	Moonlight Lady (Japan)
namemotoroadermc	Motoroader MC (Japan)
namemotteketamago	Motteke Tamago (Japan)
namemugensenshivalisthelegendofafantasmsoldier	Mugen Senshi Valis - The Legend of a Fantasm Soldier (Japan)
namemysterioussong	Mysterious Song (USA) (En,Fr,Es)
namemysticformula	Mystic Formula (Japan)
namenekketsukoukoudodgeballbucdsoccerhen	Nekketsu Koukou Dodgeball-bu CD - Soccer-hen (Japan)
namenekketsulegendbaseballer	Nekketsu Legend - Baseballer (Japan)
namenemurenuyorunochiisanaohanashi	Nemurenu Yoru no Chiisana Ohanashi (Japan)
nameneonectaris	Neo Nectaris (Japan)
namenexzr	NEXZR (Japan)
namenishimurakyoutaroumysteryhokutoseinoonna	Nishimura Kyoutarou Mystery - Hokutosei no Onna (Japan)
namenobunaganoyaboubushoufuuunroku	Nobunaga no Yabou - Bushou Fuuunroku (Japan)
namenobunaganoyabouzenkokuban	Nobunaga no Yabou - Zenkokuban (Japan)
namenoriko	No-Ri-Ko (Japan)
nameookamitekimonshoucrestofwolf	Ookami-teki Monshou - Crest of Wolf (Japan)
namepachiokun3pachislotpachinko	Pachio-kun 3 - Pachi-Slot & Pachinko (Japan)
namepachiokunmaboroshinodensetsu	Pachio-kun - Maboroshi no Densetsu (Japan) (Rev 7)
namepachiokunwarauuchuu	Pachio-kun - Warau Uchuu (Japan)
namepalladionautocrusherpalladium	Palladion - Auto Crusher Palladium (Japan)
namepastellime	Pastel Lime (Japan)
namepatlaborchapterofgriffon	Patlabor - Chapter of Griffon (Japan)
namepcenginefanspecialcdrom2vol1	PC Engine Fan - Special CD-ROM^2 Vol. 1 (Japan)
namepcenginehypercatalogcdrom	PC Engine Hyper Catalog CD-ROM (Japan)
namepcenginehypercatalogcdrom1994summer	PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc A)
namepcenginehypercatalogcdrom21993spring	PC Engine Hyper Catalog CD-ROM 2 - 1993 Spring (Japan)
namepcenginehypercatalogcdrom31993summer	PC Engine Hyper Catalog CD-ROM 3 - 1993 Summer (Japan)
namepcenginehypercatalogcdrom41993winter	PC Engine Hyper Catalog CD-ROM 4 - 1993 Winter (Japan)
namepcenginehypercatalogcdrom51994spring	PC Engine Hyper Catalog CD-ROM 5 - 1994 Spring (Japan)
namepcenginehypercatalogcdrom61994summer	PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc B)
namepoliceconnection	Police Connection (Japan)
namepompingworld	Pomping World (Japan)
namepopfulmail	PopfulMail (Japan)
namepopnmagic	Pop'n Magic (Japan)
namepopulousthepromisedlands	Populous - The Promised Lands (Japan)
nameprinceofpersia	Prince of Persia (Japan)
nameprincessmaker1	Princess Maker 1 (Japan)
nameprincessmaker2	Princess Maker 2 (Japan)
nameprincessminerva	Princess Minerva (Japan)
nameprivateeyedol	Private Eye dol (Japan)
nameproyakyuusuper94the	Pro Yakyuu Super '94, The (Japan)
nameproyakyuusuperthe	Pro Yakyuu Super, The (Japan) (FABT)
nameproyakyuuthe	Pro Yakyuu, The (Japan)
namepsychicdetectiveseriesvol3aya	Psychic Detective Series Vol. 3 - Aya (Japan)
namepsychicdetectiveseriesvol4orgel	Psychic Detective Series Vol. 4 - Orgel (Japan)
namepsychicstorm	Psychic Storm (Japan)
namepuyopuyocd	Puyo Puyo CD (Japan)
namepuyopuyocdtsuu	Puyo Puyo CD Tsuu (Japan)
namepyramidplunder	Pyramid Plunder (USA)
namequestofjongmasterjanshindensetsu	Quest of Jongmaster - Janshin Densetsu (Japan)
namequizavenue	Quiz Avenue (Japan)
namequizavenueii	Quiz Avenue II (Japan)
namequizavenueiii	Quiz Avenue III (Japan)
namequizcaravancultq	Quiz Caravan Cult Q (Japan)
namequizdegakuensai	Quiz de Gakuensai (Japan)
namequizmarugototheworld	Quiz Marugoto the World (Japan) (Rev 7)
namequizmarugototheworld2timemachinenionegai	Quiz Marugoto the World 2 - Time Machine ni Onegai! (Japan)
namequiznohoshistarofquiz	Quiz no Hoshi - Star of Quiz (Japan)
namequiztonosamanoyabou	Quiz Tonosama no Yabou (Japan)
namerainbowislandsthestoryofbubblebobble2	Rainbow Islands - The Story of Bubble Bobble 2 (Japan)
namerallychampionship	Rally Championship (Japan) (FABT)
nameranma12	Ranma 1-2 (Japan)
nameranma12datougansomusabetsukakutouryuu	Ranma 1-2 - Datou, Ganso Musabetsu Kakutou-ryuu! (Japan)
nameranma12torawarenohanayome	Ranma 1-2 - Toraware no Hanayome (Japan)
namerayxanberii	Rayxanber II (Japan)
namerayxanberiii	Rayxanber III (Japan)
namerecordoflodosswar	Record of Lodoss War (Japan)
namerecordoflodosswarii	Record of Lodoss War II (Japan)
nameredalert	Red Alert (Japan)
namerennyblaster	Renny Blaster (Japan)
namerevivalchase	Revival Chase (USA) (En,Fr)
nameriotzone	Riot Zone (USA)
namerisingsun	Rising Sun (Japan)
nameroadspirits	Road Spirits (Japan)
namerom2karaokevol1sutekinistandard	ROM^2 Karaoke Vol. 1 - Suteki ni Standard (Japan)
namerom2karaokevol2nattokuidol	ROM^2 Karaoke Vol. 2 - Nattoku Idol (Japan)
namerom2karaokevol3yappashiband	ROM^2 Karaoke Vol. 3 - Yappashi Band (Japan)
namerom2karaokevol4choitootona	ROM^2 Karaoke Vol. 4 - Choito Otona! (Japan)
